Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
F6S5R5_HORSE: Predicted ERROR, probability : 0.5716
A0A096LYQ5_POEFO: Predicted CORRECT, probability : 0.2534
I1GCP5_AMPQE: Predicted CORRECT, probability : 0.2184
U3KGN2_FICAL: Predicted ERROR, probability : 0.8673
F6XYK3_HORSE: Predicted CORRECT, probability : 0.2557
J0XK55_LOALO: Predicted ERROR, probability : 0.6275
V9F750_PHYPR: Predicted CORRECT, probability : 0.4933
A0A0F8AEE8_LARCR: Predicted CORRECT, probability : 0.4428
W5Q7L6_SHEEP: Predicted CORRECT, probability : 0.4374
G3S2X3_GORGO: Predicted CORRECT, probability : 0.3077
K2NFA3_TRYCR: Predicted CORRECT, probability : 0.4893
Q5XIR2_RAT: Predicted ERROR, probability : 0.5089
A4HH78_LEIBR: Predicted CORRECT, probability : 0.4485
E9G067_DAPPU: Predicted CORRECT, probability : 0.2712
BBS10_PONAB: Predicted CORRECT, probability : 0.3433
G4VAW8_SCHMA: Predicted ERROR, probability : 0.9086
F6VX30_CALJA: Predicted CORRECT, probability : 0.4101
W5MMG5_LEPOC: Predicted CORRECT, probability : 0.1553
A0A096MWX4_PAPAN: Predicted CORRECT, probability : 0.3709
Q57WA0_TRYB2: Predicted CORRECT, probability : 0.3207
H2P491_PONAB: Predicted CORRECT, probability : 0.4384
G1RWH4_NOMLE: Predicted CORRECT, probability : 0.2436
T1JL36_STRMM: Predicted ERROR, probability : 0.9317
A0A087W2H3_ECHMU: Predicted ERROR, probability : 0.9576
T0QML0_9STRA: Predicted CORRECT, probability : 0.2922
G1K9Z0_ANOCA: Predicted CORRECT, probability : 0.2654
A0A0G4INI7_PLABS: Predicted ERROR, probability : 0.6353
G1QY66_NOMLE: Predicted CORRECT, probability : 0.4950
E9ADS3_LEIMA: Predicted ERROR, probability : 0.5475
B4LX92_DROVI: Predicted ERROR, probability : 0.9290
A0A0N4YV34_NIPBR: Predicted ERROR, probability : 0.6457
U3KJC2_FICAL: Predicted CORRECT, probability : 0.3622
G3QXT9_GORGO: Predicted ERROR, probability : 0.5784
A0A158PS91_BRUPA: Predicted CORRECT, probability : 0.0965
TRI32_MOUSE: Predicted CORRECT, probability : 0.4122
F6X3T5_HORSE: Predicted CORRECT, probability : 0.1211
BBIP1_DANRE: Predicted CORRECT, probability : 0.3979
H9GKS6_ANOCA: Predicted CORRECT, probability : 0.3888
E2A7S1_CAMFO: Predicted CORRECT, probability : 0.3314
G1LHM7_AILME: Predicted CORRECT, probability : 0.1832
J9JV08_ACYPI: Predicted CORRECT, probability : 0.0258
H3D6A2_TETNG: Predicted CORRECT, probability : 0.3275
A0A091D8Z1_FUKDA: Predicted CORRECT, probability : 0.1303
A8J6H2_CHLRE: Predicted ERROR, probability : 0.9204
J9GCY5_9SPIT: Predicted ERROR, probability : 0.5737
A0A0R3S1U0_9BILA: Predicted ERROR, probability : 0.7968
G0NG53_CAEBE: Predicted ERROR, probability : 0.5212
U4UA84_DENPD: Predicted ERROR, probability : 0.8799
H2P7R4_PONAB: Predicted CORRECT, probability : 0.4612
B4H6C3_DROPE: Predicted ERROR, probability : 0.5350
Q4E4V4_TRYCC: Predicted CORRECT, probability : 0.3863
G7P0F5_MACFA: Predicted CORRECT, probability : 0.1491
S7Q6Z2_MYOBR: Predicted ERROR, probability : 0.7662
K3WA10_PYTUL: Predicted CORRECT, probability : 0.2594
T0RY96_9STRA: Predicted CORRECT, probability : 0.3977
W2ZBV4_PHYPR: Predicted CORRECT, probability : 0.4981
A0A0N4YLA9_NIPBR: Predicted ERROR, probability : 0.8839
G3T581_LOXAF: Predicted ERROR, probability : 0.9157
V9EH23_PHYPR: Predicted ERROR, probability : 0.9595
T0PXD2_9STRA: Predicted ERROR, probability : 0.6621
A0A0D2M4P4_9CHLO: Predicted ERROR, probability : 0.9981
D0MXK6_PHYIT: Predicted CORRECT, probability : 0.3725
F6ZZ65_CIOIN: Predicted ERROR, probability : 0.9566
G6DDV4_DANPL: Predicted CORRECT, probability : 0.0647
G3SQS4_LOXAF: Predicted CORRECT, probability : 0.2600
W4FS53_9STRA: Predicted CORRECT, probability : 0.4522
G7NZ67_MACFA: Predicted CORRECT, probability : 0.1626
A0A151WJ19_9HYME: Predicted ERROR, probability : 0.7590
B4LTL5_DROVI: Predicted ERROR, probability : 0.5912
A0A0G4EFJ8_VITBC: Predicted ERROR, probability : 0.6227
D0N5X0_PHYIT: Predicted ERROR, probability : 0.5433
L1IIB1_GUITH: Predicted CORRECT, probability : 0.3789
G3P7I9_GASAC: Predicted CORRECT, probability : 0.4166
K7GB43_PELSI: Predicted CORRECT, probability : 0.0917
A2EWL4_TRIVA: Predicted CORRECT, probability : 0.2972
F6V1R0_HORSE: Predicted CORRECT, probability : 0.1720
A0A067R087_ZOONE: Predicted ERROR, probability : 0.9376
W4XFB5_STRPU: Predicted ERROR, probability : 0.7769
V6LPV3_9EUKA: Predicted ERROR, probability : 0.9434
A0A0V0QEV5_PSEPJ: Predicted ERROR, probability : 0.9998
D8U9W7_VOLCA: Predicted ERROR, probability : 0.8200
H3CQC7_TETNG: Predicted CORRECT, probability : 0.3126
F6TP16_MONDO: Predicted CORRECT, probability : 0.0805
M3Z132_MUSPF: Predicted CORRECT, probability : 0.1737
A0A0N4SZ93_BRUPA: Predicted CORRECT, probability : 0.4574
H2QX35_PANTR: Predicted CORRECT, probability : 0.4502
G3SS75_LOXAF: Predicted ERROR, probability : 0.5721
E2A475_CAMFO: Predicted CORRECT, probability : 0.1678
A4H6Y1_LEIBR: Predicted ERROR, probability : 0.6015
G7PDY7_MACFA: Predicted ERROR, probability : 0.6995
A0A061IYH0_TRYRA: Predicted CORRECT, probability : 0.3474
M4AUX9_XIPMA: Predicted ERROR, probability : 0.9510
D8LTW5_ECTSI: Predicted ERROR, probability : 0.5273
W5KW93_ASTMX: Predicted ERROR, probability : 0.9343
D4A4U2_RAT: Predicted CORRECT, probability : 0.3190
A8IYF1_CHLRE: Predicted CORRECT, probability : 0.4689
SDCG8_DANRE: Predicted CORRECT, probability : 0.4146
V9ETD6_PHYPR: Predicted ERROR, probability : 0.7342
B4ME19_DROVI: Predicted CORRECT, probability : 0.4208
A0A0M9G178_9TRYP: Predicted ERROR, probability : 0.5314
K7IZ19_NASVI: Predicted ERROR, probability : 0.6557
K2NCL3_TRYCR: Predicted ERROR, probability : 0.8373
K2NS17_TRYCR: Predicted CORRECT, probability : 0.3648
D2V9Y2_NAEGR: Predicted ERROR, probability : 0.6716
H3DGV8_TETNG: Predicted CORRECT, probability : 0.4522
W2Q9Y5_PHYPN: Predicted CORRECT, probability : 0.4934
E2REN6_CANLF: Predicted ERROR, probability : 0.8287
A0A0J9Y8J7_BRUMA: Predicted CORRECT, probability : 0.1802
ARL6_DANRE: Predicted CORRECT, probability : 0.1778
A2DWY6_TRIVA: Predicted CORRECT, probability : 0.4483
T1JX53_TETUR: Predicted ERROR, probability : 0.5837
A0A0N4ZNH0_PARTI: Predicted ERROR, probability : 0.9011
W5KI70_ASTMX: Predicted ERROR, probability : 0.9692
A0A158R4W9_9BILA: Predicted ERROR, probability : 0.9998
A0A024U9Y1_9STRA: Predicted CORRECT, probability : 0.3178
A0A0D9RAF2_CHLSB: Predicted CORRECT, probability : 0.3056
J9HZC4_9SPIT: Predicted ERROR, probability : 0.7268
T1HVS2_RHOPR: Predicted CORRECT, probability : 0.3197
E1GAE4_LOALO: Predicted ERROR, probability : 0.5023
ARL6_CAEEL: Predicted CORRECT, probability : 0.1766
A0A0N5BKL4_STREA: Predicted ERROR, probability : 0.6225
A8XGG2_CAEBR: Predicted ERROR, probability : 0.9995
A0A0W8CKJ4_PHYNI: Predicted CORRECT, probability : 0.4926
A0A077Z7Q9_TRITR: Predicted CORRECT, probability : 0.4478
F6PM46_HORSE: Predicted CORRECT, probability : 0.1934
G3PRP6_GASAC: Predicted CORRECT, probability : 0.1792
A0A154PBL4_9HYME: Predicted CORRECT, probability : 0.3906
D0N6L3_PHYIT: Predicted ERROR, probability : 0.5582
BBS5_DANRE: Predicted CORRECT, probability : 0.4652
G3QRG0_GORGO: Predicted ERROR, probability : 0.6356
A0A0N5C563_STREA: Predicted CORRECT, probability : 0.2171
CH037_DANRE: Predicted ERROR, probability : 0.5048
A4I7U1_LEIIN: Predicted CORRECT, probability : 0.4039
H0W8L4_CAVPO: Predicted CORRECT, probability : 0.3194
FRITZ_DROME: Predicted CORRECT, probability : 0.4303
K7FNG7_PELSI: Predicted ERROR, probability : 0.7958
A0A0S4JE34_BODSA: Predicted ERROR, probability : 0.7821
A0A158NV12_ATTCE: Predicted CORRECT, probability : 0.4929
A0A087XH33_POEFO: Predicted ERROR, probability : 0.8192
A8WJB5_CAEBR: Predicted ERROR, probability : 0.8409
H0UVR3_CAVPO: Predicted CORRECT, probability : 0.2236
A0A0K0DX44_STRER: Predicted ERROR, probability : 0.7066
S9WC07_CAMFR: Predicted CORRECT, probability : 0.4246
A0A087YPY0_POEFO: Predicted ERROR, probability : 0.5190
A0A061J2T5_TRYRA: Predicted CORRECT, probability : 0.4978
V5B464_TRYCR: Predicted ERROR, probability : 0.6836
A0A0N0BE56_9HYME: Predicted CORRECT, probability : 0.3140
M3WEE9_FELCA: Predicted CORRECT, probability : 0.4481
H2SDM2_TAKRU: Predicted ERROR, probability : 0.5372
W5P6M8_SHEEP: Predicted ERROR, probability : 0.5546
A0A0N0DTJ9_9TRYP: Predicted ERROR, probability : 0.8282
I3MIT5_ICTTR: Predicted CORRECT, probability : 0.1476
E1BKZ3_BOVIN: Predicted CORRECT, probability : 0.2739
T0QH98_9STRA: Predicted CORRECT, probability : 0.4687
A0A0N4UZ46_ENTVE: Predicted ERROR, probability : 0.5718
M3YV44_MUSPF: Predicted CORRECT, probability : 0.4939
W5PYR9_SHEEP: Predicted CORRECT, probability : 0.3944
A0A077ZNG4_STYLE: Predicted ERROR, probability : 0.9874
H0X8S4_OTOGA: Predicted ERROR, probability : 0.5969
A0A0N4TQC2_BRUPA: Predicted ERROR, probability : 0.7264
G3QI68_GORGO: Predicted CORRECT, probability : 0.4574
F7EGS4_MACMU: Predicted CORRECT, probability : 0.1626
V9EKV4_PHYPR: Predicted CORRECT, probability : 0.3607
E3NSB7_CAERE: Predicted ERROR, probability : 0.6174
A7SR08_NEMVE: Predicted CORRECT, probability : 0.1993
B4ICX1_DROSE: Predicted ERROR, probability : 0.7727
A0A0N5CAK7_STREA: Predicted CORRECT, probability : 0.1219
K3X3B3_PYTUL: Predicted CORRECT, probability : 0.4955
X6NZL0_RETFI: Predicted ERROR, probability : 0.6742
B4JSV3_DROGR: Predicted ERROR, probability : 0.8212
H2QXS4_PANTR: Predicted CORRECT, probability : 0.4084
H2KV67_CLOSI: Predicted ERROR, probability : 0.7006
H0WGM3_OTOGA: Predicted CORRECT, probability : 0.1869
U6PK38_HAECO: Predicted CORRECT, probability : 0.2426
A0A0S4JJZ6_BODSA: Predicted ERROR, probability : 0.5167
A0A096MMY7_PAPAN: Predicted CORRECT, probability : 0.3084
A0A183CQD0_GLOPA: Predicted CORRECT, probability : 0.4236
Q4D5L0_TRYCC: Predicted CORRECT, probability : 0.3790
F7FNJ0_MACMU: Predicted CORRECT, probability : 0.3001
V9DZZ4_PHYPR: Predicted ERROR, probability : 0.6690
H3AVK0_LATCH: Predicted ERROR, probability : 0.5276
A0A0N4UE14_DRAME: Predicted ERROR, probability : 0.8223
G4ZRE7_PHYSP: Predicted CORRECT, probability : 0.2230
C3YW88_BRAFL: Predicted ERROR, probability : 0.8734
A0A194QVK1_PAPMA: Predicted CORRECT, probability : 0.3140
W5J3R5_ANODA: Predicted ERROR, probability : 0.6626
T1FL10_HELRO: Predicted ERROR, probability : 0.5086
A0A194RH81_PAPMA: Predicted CORRECT, probability : 0.3583
W4GJ33_9STRA: Predicted CORRECT, probability : 0.4205
BBS5_CAEEL: Predicted ERROR, probability : 0.8751
IFT27_MOUSE: Predicted CORRECT, probability : 0.4109
A0A024TR04_9STRA: Predicted ERROR, probability : 0.8040
A0A024UWM1_9STRA: Predicted ERROR, probability : 0.5113
F1SBK4_PIG: Predicted CORRECT, probability : 0.3436
W6KIA6_9TRYP: Predicted ERROR, probability : 0.6471
G7NY40_MACFA: Predicted ERROR, probability : 0.8985
I3JGE5_ORENI: Predicted ERROR, probability : 0.8306
B3M138_DROAN: Predicted ERROR, probability : 0.8543
A6QLF9_BOVIN: Predicted CORRECT, probability : 0.4798
A0A095AGH2_SCHHA: Predicted ERROR, probability : 0.6288
G5C8Q6_HETGA: Predicted CORRECT, probability : 0.4261
H3GVL7_PHYRM: Predicted CORRECT, probability : 0.4428
I7MIW5_TETTS: Predicted CORRECT, probability : 0.2639
ARL6_PONAB: Predicted CORRECT, probability : 0.1417
B4QVM9_DROSI: Predicted ERROR, probability : 0.9088
W5QAJ5_SHEEP: Predicted CORRECT, probability : 0.1519
A0A0N5D3C4_THECL: Predicted ERROR, probability : 0.6766
I3IWV9_ORENI: Predicted ERROR, probability : 0.7118
A0A158NS39_ATTCE: Predicted ERROR, probability : 0.5761
H3GG97_PHYRM: Predicted ERROR, probability : 0.5158
B7PU94_IXOSC: Predicted ERROR, probability : 0.5489
B3S9A2_TRIAD: Predicted CORRECT, probability : 0.4480
F1MU26_BOVIN: Predicted CORRECT, probability : 0.1544
F6WD17_ORNAN: Predicted CORRECT, probability : 0.4683
F1SGD6_PIG: Predicted CORRECT, probability : 0.2538
G1SZG9_RABIT: Predicted CORRECT, probability : 0.2305
D2VRF8_NAEGR: Predicted CORRECT, probability : 0.1040
A0A0L7RAP5_9HYME: Predicted CORRECT, probability : 0.2700
G3WV05_SARHA: Predicted CORRECT, probability : 0.3650
G5BPW8_HETGA: Predicted ERROR, probability : 0.5746
H0XMN1_OTOGA: Predicted ERROR, probability : 0.9072
F6ZBL6_MACMU: Predicted CORRECT, probability : 0.1542
C4V6M3_NOSCE: Predicted CORRECT, probability : 0.2823
A0A096P4T0_PAPAN: Predicted CORRECT, probability : 0.2758
G4VC35_SCHMA: Predicted CORRECT, probability : 0.1099
E3MCR4_CAERE: Predicted CORRECT, probability : 0.1859
G1L489_AILME: Predicted ERROR, probability : 0.8697
U3JY08_FICAL: Predicted CORRECT, probability : 0.4009
I3MFS4_ICTTR: Predicted CORRECT, probability : 0.3524
S7MHA8_MYOBR: Predicted CORRECT, probability : 0.2705
E9HT82_DAPPU: Predicted CORRECT, probability : 0.4139
W5PKU2_SHEEP: Predicted CORRECT, probability : 0.2980
F1SKJ7_PIG: Predicted ERROR, probability : 0.9964
Q9I7P3_DROME: Predicted ERROR, probability : 0.8705
L1IPS2_GUITH: Predicted CORRECT, probability : 0.1773
A0A151P2P0_ALLMI: Predicted CORRECT, probability : 0.4140
S9UYL4_9TRYP: Predicted ERROR, probability : 0.5281
B4J623_DROGR: Predicted CORRECT, probability : 0.1354
M3ZUZ2_XIPMA: Predicted CORRECT, probability : 0.2313
L5KEP6_PTEAL: Predicted CORRECT, probability : 0.4773
B0W2W7_CULQU: Predicted CORRECT, probability : 0.1696
E1C6N4_CHICK: Predicted CORRECT, probability : 0.4027
A0A0B2VAS7_TOXCA: Predicted CORRECT, probability : 0.4079
F7GJV3_MONDO: Predicted CORRECT, probability : 0.2088
A0A0D9R0X9_CHLSB: Predicted CORRECT, probability : 0.1626
W2Q403_PHYPN: Predicted CORRECT, probability : 0.3665
A0A0L7QQG4_9HYME: Predicted ERROR, probability : 0.5184
A0A154P6L9_9HYME: Predicted ERROR, probability : 0.8899
IFT27_TRYB2: Predicted ERROR, probability : 0.7358
B1WBT5_RAT: Predicted CORRECT, probability : 0.4769
G1QUW7_NOMLE: Predicted CORRECT, probability : 0.2818
A0A0N4T2Z1_BRUPA: Predicted CORRECT, probability : 0.1865
B4GFI4_DROPE: Predicted ERROR, probability : 0.8744
D7G173_ECTSI: Predicted ERROR, probability : 0.6674
H0WRS7_OTOGA: Predicted CORRECT, probability : 0.3149
G5C795_HETGA: Predicted CORRECT, probability : 0.2525
A0A0M9GA52_9TRYP: Predicted ERROR, probability : 0.8580
S7N739_MYOBR: Predicted ERROR, probability : 0.9816
B3RIN7_TRIAD: Predicted ERROR, probability : 0.6209
L5MC70_MYODS: Predicted CORRECT, probability : 0.2966
A0A0L0D1H0_THETB: Predicted ERROR, probability : 0.8424
A0A0L7LQI9_9NEOP: Predicted ERROR, probability : 0.9813
F6VNP5_XENTR: Predicted CORRECT, probability : 0.2228
G3N7I2_GASAC: Predicted ERROR, probability : 0.6438
G2HEF9_PANTR: Predicted ERROR, probability : 0.7406
W5M4M4_LEPOC: Predicted CORRECT, probability : 0.2081
H0V1I4_CAVPO: Predicted CORRECT, probability : 0.2284
W2TDX3_NECAM: Predicted ERROR, probability : 0.7322
G3TIP0_LOXAF: Predicted CORRECT, probability : 0.1344
A0A090L692_STRRB: Predicted ERROR, probability : 0.6184
F1NSK2_CHICK: Predicted CORRECT, probability : 0.3092
A0A151WNS5_9HYME: Predicted CORRECT, probability : 0.4097
G5E7D8_LOXAF: Predicted CORRECT, probability : 0.4695
U3K4J7_FICAL: Predicted CORRECT, probability : 0.2718
G5BJT3_HETGA: Predicted CORRECT, probability : 0.2887
A0A158P292_ATTCE: Predicted CORRECT, probability : 0.1616
L5KM74_PTEAL: Predicted ERROR, probability : 0.6820
H0W9S2_CAVPO: Predicted ERROR, probability : 0.6783
L9KNF8_TUPCH: Predicted CORRECT, probability : 0.2968
A0A0D9S9R9_CHLSB: Predicted CORRECT, probability : 0.2298
A0A091E2H9_FUKDA: Predicted ERROR, probability : 0.6307
A0A0G4ILH0_PLABS: Predicted ERROR, probability : 0.6396
G3QWF1_GORGO: Predicted CORRECT, probability : 0.4958
H0V4D2_CAVPO: Predicted ERROR, probability : 0.5150
A0A0K0F2R7_9BILA: Predicted CORRECT, probability : 0.2490
W2Z6I3_PHYPR: Predicted CORRECT, probability : 0.2051
A0A0B2USD8_TOXCA: Predicted ERROR, probability : 0.5640
A0A0N5BJF3_STREA: Predicted CORRECT, probability : 0.4896
G1LAF1_AILME: Predicted CORRECT, probability : 0.2827
IFT27_HUMAN: Predicted CORRECT, probability : 0.4281
G0MK79_CAEBE: Predicted ERROR, probability : 0.9818
LZTL1_RAT: Predicted ERROR, probability : 0.5598
C3XXL3_BRAFL: Predicted CORRECT, probability : 0.2191
H3G787_PHYRM: Predicted ERROR, probability : 0.8125
LZTL1_HUMAN: Predicted CORRECT, probability : 0.4459
W5MWL7_LEPOC: Predicted CORRECT, probability : 0.2042
F7CJR6_HORSE: Predicted ERROR, probability : 0.5386
B4MK78_DROWI: Predicted CORRECT, probability : 0.3504
A0A0L0S8P6_ALLMA: Predicted ERROR, probability : 0.8621
H0V587_CAVPO: Predicted CORRECT, probability : 0.1937
H2YLQ2_CIOSA: Predicted CORRECT, probability : 0.4871
A0A067RAV1_ZOONE: Predicted ERROR, probability : 0.7056
F5HK34_ANOGA: Predicted CORRECT, probability : 0.4512
F1N626_BOVIN: Predicted CORRECT, probability : 0.4418
A0A154PPF1_9HYME: Predicted ERROR, probability : 0.5578
A0A0N4UJR0_DRAME: Predicted CORRECT, probability : 0.1870
G1SF71_RABIT: Predicted ERROR, probability : 0.5689
BBS4_XENTR: Predicted CORRECT, probability : 0.3965
G5BWY4_HETGA: Predicted CORRECT, probability : 0.3131
T0R6X7_9STRA: Predicted ERROR, probability : 0.5932
G4ZE33_PHYSP: Predicted ERROR, probability : 0.8549
A0A0N5CRY8_THECL: Predicted CORRECT, probability : 0.1636
A8JF63_CHLRE: Predicted ERROR, probability : 0.8981
G0MLH4_CAEBE: Predicted ERROR, probability : 0.8706
K7IUM7_NASVI: Predicted CORRECT, probability : 0.4660
C1DZQ4_MICCC: Predicted ERROR, probability : 0.9216
G1LJ46_AILME: Predicted CORRECT, probability : 0.0876
A8HYK1_CHLRE: Predicted ERROR, probability : 0.5980
M3X7G4_FELCA: Predicted CORRECT, probability : 0.1739
B3RJT2_TRIAD: Predicted ERROR, probability : 0.7233
A0A158Q2T1_DRAME: Predicted ERROR, probability : 0.9964
G3RIZ2_GORGO: Predicted CORRECT, probability : 0.1453
B4KFI6_DROMO: Predicted ERROR, probability : 0.7432
S9UZY7_9TRYP: Predicted ERROR, probability : 0.8365
H0VAU5_CAVPO: Predicted CORRECT, probability : 0.4534
F7C4T1_XENTR: Predicted CORRECT, probability : 0.1933
H3AAI8_LATCH: Predicted CORRECT, probability : 0.3977
D2HN50_AILME: Predicted CORRECT, probability : 0.4181
F7C208_CALJA: Predicted CORRECT, probability : 0.1574
A0A0N0P4P7_LEPSE: Predicted CORRECT, probability : 0.2657
L1JA00_GUITH: Predicted CORRECT, probability : 0.3849
BBS10_HUMAN: Predicted CORRECT, probability : 0.3114
M3Y2I1_MUSPF: Predicted CORRECT, probability : 0.0823
G4ZW31_PHYSP: Predicted ERROR, probability : 0.5158
H0X602_OTOGA: Predicted ERROR, probability : 0.9352
A0A096NA64_PAPAN: Predicted CORRECT, probability : 0.3272
G3T3M9_LOXAF: Predicted CORRECT, probability : 0.2918
A0A0N5ANT9_9BILA: Predicted ERROR, probability : 0.6339
G1T9Q2_RABIT: Predicted ERROR, probability : 0.5110
A0A0R3TYF9_HYMNN: Predicted ERROR, probability : 0.8140
H0VMP6_CAVPO: Predicted ERROR, probability : 0.8809
E2B1J1_CAMFO: Predicted CORRECT, probability : 0.2237
G1S4W3_NOMLE: Predicted CORRECT, probability : 0.4116
G3PWT5_GASAC: Predicted CORRECT, probability : 0.4988
B7P1L1_IXOSC: Predicted CORRECT, probability : 0.2106
F1RY59_PIG: Predicted ERROR, probability : 0.5454
A0A154PRD2_9HYME: Predicted CORRECT, probability : 0.4323
F7AEK0_CALJA: Predicted ERROR, probability : 0.9762
T0QGA8_9STRA: Predicted CORRECT, probability : 0.1944
A0A0Q3X8Z7_AMAAE: Predicted ERROR, probability : 0.9982
M3WJX0_FELCA: Predicted CORRECT, probability : 0.3490
H2T0R0_TAKRU: Predicted CORRECT, probability : 0.1932
A0A0N1IFC5_PAPMA: Predicted ERROR, probability : 0.5066
U4UBI2_DENPD: Predicted CORRECT, probability : 0.3391
A0A067CXS2_SAPPC: Predicted CORRECT, probability : 0.3081
H2RJL3_TAKRU: Predicted CORRECT, probability : 0.3284
B4NJQ7_DROWI: Predicted ERROR, probability : 0.9064
F6VTH6_ORNAN: Predicted ERROR, probability : 0.5317
H0WUW2_OTOGA: Predicted CORRECT, probability : 0.2522
G5C9H4_HETGA: Predicted CORRECT, probability : 0.2439
F6ZUJ5_CALJA: Predicted ERROR, probability : 0.6282
A0A0M9A7K6_9HYME: Predicted CORRECT, probability : 0.1811
Q4DNK9_TRYCC: Predicted CORRECT, probability : 0.2309
G6D351_DANPL: Predicted ERROR, probability : 0.5111
A0A067BQG6_SAPPC: Predicted ERROR, probability : 0.8320
M3XVF5_MUSPF: Predicted CORRECT, probability : 0.3223
M3WE70_FELCA: Predicted ERROR, probability : 0.9960
W6L264_9TRYP: Predicted CORRECT, probability : 0.4549
D8LN08_ECTSI: Predicted ERROR, probability : 0.6694
F6VUS1_ORNAN: Predicted CORRECT, probability : 0.3919
H2QWG3_PANTR: Predicted ERROR, probability : 0.5556
A0A151WQC0_9HYME: Predicted ERROR, probability : 0.9994
B7PSD9_IXOSC: Predicted ERROR, probability : 0.5181
H2QB48_PANTR: Predicted CORRECT, probability : 0.1442
F1N4X0_BOVIN: Predicted ERROR, probability : 0.7907
T1FEE1_HELRO: Predicted ERROR, probability : 0.9742
A0A0N1PED7_LEPSE: Predicted CORRECT, probability : 0.3868
A0A090L5W0_STRRB: Predicted CORRECT, probability : 0.4775
C1N2W8_MICPC: Predicted ERROR, probability : 0.5602
A0A1B8Y1D2_XENTR: Predicted CORRECT, probability : 0.3892
B3M8B7_DROAN: Predicted ERROR, probability : 0.5332
A0A0N4VJJ5_ENTVE: Predicted CORRECT, probability : 0.2888
A0A0N5A236_PARTI: Predicted CORRECT, probability : 0.0959
A0A0K0EYC5_9BILA: Predicted CORRECT, probability : 0.4980
F4X8S5_ACREC: Predicted ERROR, probability : 0.6446
Q17AX8_AEDAE: Predicted ERROR, probability : 0.8558
H3GA39_PHYRM: Predicted ERROR, probability : 0.5305
L5KAD5_PTEAL: Predicted CORRECT, probability : 0.4396
G6DR32_DANPL: Predicted ERROR, probability : 0.5222
Q4QGM5_LEIMA: Predicted ERROR, probability : 0.6427
A0A0K0G086_9BILA: Predicted ERROR, probability : 0.5343
L5KBQ5_PTEAL: Predicted CORRECT, probability : 0.4193
Q16WI6_AEDAE: Predicted CORRECT, probability : 0.4610
B4GIM8_DROPE: Predicted CORRECT, probability : 0.1598
G3TR76_LOXAF: Predicted CORRECT, probability : 0.3255
H3DMY8_TETNG: Predicted CORRECT, probability : 0.3152
F7D8D3_MONDO: Predicted CORRECT, probability : 0.1687
A0A026W9L5_CERBI: Predicted ERROR, probability : 0.6256
W5M5Q7_LEPOC: Predicted ERROR, probability : 0.7992
F6PNT7_MONDO: Predicted CORRECT, probability : 0.4763
A4HH17_LEIBR: Predicted CORRECT, probability : 0.4410
F4PDD1_BATDJ: Predicted CORRECT, probability : 0.2759
A0A0M9G1C6_9TRYP: Predicted ERROR, probability : 0.5056
A0A0W8CBQ8_PHYNI: Predicted ERROR, probability : 0.8132
F7CR52_HORSE: Predicted ERROR, probability : 0.6533
E1BZE3_CHICK: Predicted CORRECT, probability : 0.2339
Q29MT0_DROPS: Predicted CORRECT, probability : 0.4630
K7FRV5_PELSI: Predicted ERROR, probability : 0.9918
A0A0G2JUD0_RAT: Predicted CORRECT, probability : 0.4499
A0A077ZT05_STYLE: Predicted ERROR, probability : 0.7500
W6KXN0_9TRYP: Predicted ERROR, probability : 0.5638
Q4CTS4_TRYCC: Predicted ERROR, probability : 0.7566
V3ZL20_LOTGI: Predicted CORRECT, probability : 0.2859
Q9VYM3_DROME: Predicted CORRECT, probability : 0.4646
G1SQG3_RABIT: Predicted ERROR, probability : 0.5114
Q66H79_RAT: Predicted CORRECT, probability : 0.4168
A9V1S9_MONBE: Predicted ERROR, probability : 0.5718
U3K919_FICAL: Predicted CORRECT, probability : 0.2366
G1PTC0_MYOLU: Predicted ERROR, probability : 0.9383
F7HY94_CALJA: Predicted CORRECT, probability : 0.1558
A0A087XRS7_POEFO: Predicted CORRECT, probability : 0.1983
F7IFY6_CALJA: Predicted CORRECT, probability : 0.1383
ARF_ENCCU: Predicted CORRECT, probability : 0.4116
G3VFI2_SARHA: Predicted CORRECT, probability : 0.1162
A0A194Q555_PAPXU: Predicted ERROR, probability : 0.9680
M3ZUB6_XIPMA: Predicted ERROR, probability : 0.5728
A0A0L0C383_LUCCU: Predicted CORRECT, probability : 0.1585
B3S5T1_TRIAD: Predicted CORRECT, probability : 0.1274
CH037_RAT: Predicted CORRECT, probability : 0.4625
K3WTZ6_PYTUL: Predicted CORRECT, probability : 0.3005
A0A067QKD4_ZOONE: Predicted CORRECT, probability : 0.3237
Q3SCY0_PARTE: Predicted ERROR, probability : 0.9479
A0A096LWM2_POEFO: Predicted ERROR, probability : 0.5039
V9F6J5_PHYPR: Predicted ERROR, probability : 0.8132
E3NJN3_CAERE: Predicted CORRECT, probability : 0.4886
G3N118_BOVIN: Predicted CORRECT, probability : 0.4728
W4XN65_STRPU: Predicted ERROR, probability : 0.8227
J9I1Z1_9SPIT: Predicted ERROR, probability : 0.8083
A0A061J5Y7_TRYRA: Predicted CORRECT, probability : 0.3250
A0A067BUM2_SAPPC: Predicted ERROR, probability : 0.9097
G4ZI86_PHYSP: Predicted ERROR, probability : 0.8899
